"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Consumer Price Index","2003 January","Passenger transport by air","Base Dec 2016=100","100.7"
"Consumer Price Index","2003 February","Passenger transport by air","Base Dec 2016=100","100.7"
"Consumer Price Index","2003 March","Passenger transport by air","Base Dec 2016=100","98"
"Consumer Price Index","2003 April","Passenger transport by air","Base Dec 2016=100","98.8"
"Consumer Price Index","2003 May","Passenger transport by air","Base Dec 2016=100","93.8"
"Consumer Price Index","2003 June","Passenger transport by air","Base Dec 2016=100","95.1"
"Consumer Price Index","2003 July","Passenger transport by air","Base Dec 2016=100","101.9"
"Consumer Price Index","2003 August","Passenger transport by air","Base Dec 2016=100","111.7"
"Consumer Price Index","2003 September","Passenger transport by air","Base Dec 2016=100","110.2"
"Consumer Price Index","2003 October","Passenger transport by air","Base Dec 2016=100","97.8"
"Consumer Price Index","2003 November","Passenger transport by air","Base Dec 2016=100","86.6"
"Consumer Price Index","2003 December","Passenger transport by air","Base Dec 2016=100","96.6"
"Consumer Price Index","2004 January","Passenger transport by air","Base Dec 2016=100","69.4"
"Consumer Price Index","2004 February","Passenger transport by air","Base Dec 2016=100","89.7"
"Consumer Price Index","2004 March","Passenger transport by air","Base Dec 2016=100","115.7"
"Consumer Price Index","2004 April","Passenger transport by air","Base Dec 2016=100","114.8"
"Consumer Price Index","2004 May","Passenger transport by air","Base Dec 2016=100","103.3"
"Consumer Price Index","2004 June","Passenger transport by air","Base Dec 2016=100","106.5"
"Consumer Price Index","2004 July","Passenger transport by air","Base Dec 2016=100","136.4"
"Consumer Price Index","2004 August","Passenger transport by air","Base Dec 2016=100","131.4"
"Consumer Price Index","2004 September","Passenger transport by air","Base Dec 2016=100","120.3"
"Consumer Price Index","2004 October","Passenger transport by air","Base Dec 2016=100","104.6"
"Consumer Price Index","2004 November","Passenger transport by air","Base Dec 2016=100","101.7"
"Consumer Price Index","2004 December","Passenger transport by air","Base Dec 2016=100","138.8"
"Consumer Price Index","2005 January","Passenger transport by air","Base Dec 2016=100","87.1"
"Consumer Price Index","2005 February","Passenger transport by air","Base Dec 2016=100","94.6"
"Consumer Price Index","2005 March","Passenger transport by air","Base Dec 2016=100","82.5"
"Consumer Price Index","2005 April","Passenger transport by air","Base Dec 2016=100","80.3"
"Consumer Price Index","2005 May","Passenger transport by air","Base Dec 2016=100","97.2"
"Consumer Price Index","2005 June","Passenger transport by air","Base Dec 2016=100","113.7"
"Consumer Price Index","2005 July","Passenger transport by air","Base Dec 2016=100","126.7"
"Consumer Price Index","2005 August","Passenger transport by air","Base Dec 2016=100","113.9"
"Consumer Price Index","2005 September","Passenger transport by air","Base Dec 2016=100","95.3"
"Consumer Price Index","2005 October","Passenger transport by air","Base Dec 2016=100","86.2"
"Consumer Price Index","2005 November","Passenger transport by air","Base Dec 2016=100","88.2"
"Consumer Price Index","2005 December","Passenger transport by air","Base Dec 2016=100","120.4"
"Consumer Price Index","2006 January","Passenger transport by air","Base Dec 2016=100","106.1"
"Consumer Price Index","2006 February","Passenger transport by air","Base Dec 2016=100","116.5"
"Consumer Price Index","2006 March","Passenger transport by air","Base Dec 2016=100","123"
"Consumer Price Index","2006 April","Passenger transport by air","Base Dec 2016=100","119.3"
"Consumer Price Index","2006 May","Passenger transport by air","Base Dec 2016=100","74.6"
"Consumer Price Index","2006 June","Passenger transport by air","Base Dec 2016=100","109.3"
"Consumer Price Index","2006 July","Passenger transport by air","Base Dec 2016=100","130.5"
"Consumer Price Index","2006 August","Passenger transport by air","Base Dec 2016=100","133"
"Consumer Price Index","2006 September","Passenger transport by air","Base Dec 2016=100","112.5"
"Consumer Price Index","2006 October","Passenger transport by air","Base Dec 2016=100","98.6"
"Consumer Price Index","2006 November","Passenger transport by air","Base Dec 2016=100","89.9"
"Consumer Price Index","2006 December","Passenger transport by air","Base Dec 2016=100","90.6"
"Consumer Price Index","2007 January","Passenger transport by air","Base Dec 2016=100","103.3"
"Consumer Price Index","2007 February","Passenger transport by air","Base Dec 2016=100","116.3"
"Consumer Price Index","2007 March","Passenger transport by air","Base Dec 2016=100","129.7"
"Consumer Price Index","2007 April","Passenger transport by air","Base Dec 2016=100","134.9"
"Consumer Price Index","2007 May","Passenger transport by air","Base Dec 2016=100","102.6"
"Consumer Price Index","2007 June","Passenger transport by air","Base Dec 2016=100","112.3"
"Consumer Price Index","2007 July","Passenger transport by air","Base Dec 2016=100","139.7"
"Consumer Price Index","2007 August","Passenger transport by air","Base Dec 2016=100","131.6"
"Consumer Price Index","2007 September","Passenger transport by air","Base Dec 2016=100","114.3"
"Consumer Price Index","2007 October","Passenger transport by air","Base Dec 2016=100","99.6"
"Consumer Price Index","2007 November","Passenger transport by air","Base Dec 2016=100","85.5"
"Consumer Price Index","2007 December","Passenger transport by air","Base Dec 2016=100","88.3"
"Consumer Price Index","2008 January","Passenger transport by air","Base Dec 2016=100","73.5"
"Consumer Price Index","2008 February","Passenger transport by air","Base Dec 2016=100","94.7"
"Consumer Price Index","2008 March","Passenger transport by air","Base Dec 2016=100","139"
"Consumer Price Index","2008 April","Passenger transport by air","Base Dec 2016=100","101.2"
"Consumer Price Index","2008 May","Passenger transport by air","Base Dec 2016=100","97.9"
"Consumer Price Index","2008 June","Passenger transport by air","Base Dec 2016=100","109.1"
"Consumer Price Index","2008 July","Passenger transport by air","Base Dec 2016=100","121.2"
