year,month,passengers,freight,commercial_flights
2005,1,1533700.0,5600.0,16900.0
2005,10,2220600.0,11800.0,21000.0
2005,11,1857000.0,12000.0,18300.0
2005,12,1842300.0,12600.0,18000.0
2005,2,1569600.0,6100.0,16100.0
2005,3,1895500.0,6400.0,18100.0
2005,4,1858600.0,6000.0,18400.0
2005,5,2245500.0,6000.0,21600.0
2005,6,2483600.0,6200.0,22000.0
2005,7,2779200.0,8200.0,23400.0
2005,8,2718800.0,8300.0,24000.0
2005,9,2426600.0,11100.0,22100.0
2006,1,1766200.0,11800.0,18400.0
2006,10,2507500.0,11900.0,22200.0
2006,11,2093100.0,12100.0,19800.0
2006,12,2076100.0,12100.0,19300.0
2006,2,1804600.0,11700.0,17400.0
2006,3,2076800.0,13400.0,19600.0
2006,4,2321800.0,11600.0,19900.0
2006,5,2578700.0,12500.0,23000.0
2006,6,2793500.0,12300.0,23100.0
2006,7,3146900.0,12200.0,24800.0
2006,8,3073900.0,11900.0,24300.0
2006,9,2742200.0,12200.0,23800.0
2007,1,1945200.0,10900.0,20500.0
2007,10,2628400.0,13200.0,23200.0
2007,11,2223800.0,12500.0,21200.0
2007,12,2181500.0,12500.0,20800.0
2007,2,2007600.0,10600.0,19300.0
2007,3,2389400.0,12700.0,22100.0
2007,4,2473300.0,11600.0,22800.0
2007,5,2693000.0,11700.0,24400.0
2007,6,2999700.0,11700.0,25100.0
2007,7,3296100.0,12200.0,26000.0
2007,8,3276600.0,11800.0,25700.0
2007,9,2914700.0,12100.0,24900.0
2008,1,2032800.0,11400.0,21800.0
2008,10,2576800.0,11200.0,23200.0
2008,11,2044200.0,10900.0,19400.0
2008,12,1986800.0,10500.0,19200.0
2008,2,2107500.0,12000.0,20600.0
2008,3,2552300.0,12000.0,22600.0
2008,4,2388900.0,11900.0,22300.0
2008,5,2857100.0,11600.0,24700.0
2008,6,2986100.0,10800.0,24800.0
2008,7,3215900.0,11500.0,25300.0
2008,8,3285200.0,10200.0,25600.0
2008,9,2745900.0,10400.0,23800.0
2009,1,1874000.0,9400.0,19600.0
2009,10,2206700.0,10700.0,18600.0
2009,11,1753500.0,10400.0,16100.0
2009,12,1719400.0,10600.0,15600.0
2009,2,1874500.0,8900.0,17300.0
2009,3,2197700.0,9900.0,19900.0
2009,4,2247200.0,9100.0,19000.0
2009,5,2413200.0,9000.0,20300.0
2009,6,2568300.0,9500.0,20000.0
2009,7,2809700.0,9800.0,20900.0
2009,8,2815400.0,9600.0,20700.0
2009,9,2338700.0,10400.0,19400.0
2010,1,1519500.0,9200.0,15500.0
2010,10,2148500.0,12200.0,18300.0
2010,11,1619000.0,11700.0,15200.0
2010,12,1405600.0,10200.0,13400.0
2010,2,1580800.0,9600.0,15000.0
2010,3,1903600.0,11400.0,17000.0
2010,4,1482500.0,9000.0,13500.0
2010,5,1986600.0,10300.0,17300.0
