date,freight
2009-01-01,4897
2009-02-01,5284
2009-03-01,5774
2009-04-01,4890
2009-05-01,5170
2009-06-01,5588
2009-07-01,4919
2009-08-01,4919
2009-09-01,5208
2009-10-01,4926
2009-11-01,4731
2009-12-01,5151
2010-01-01,4548
2010-02-01,4804
2010-03-01,5710
2010-04-01,3685
2010-05-01,4670
2010-06-01,5504
2010-07-01,4708
2010-08-01,4640
2010-09-01,5885
2010-10-01,4856
2010-11-01,5326
2010-12-01,4760
2011-01-01,5363
2011-02-01,5357
2011-03-01,6930
2011-04-01,5527
2011-05-01,6457
2011-06-01,6764
2011-07-01,6765
2011-08-01,6726
2011-09-01,7056
2011-10-01,7449
2011-11-01,6953
2011-12-01,6222
2012-01-01,7086
2012-02-01,7662
2012-03-01,8156
2012-04-01,6790
2012-05-01,7967
2012-06-01,7103
2012-07-01,6841
2012-08-01,6921
2012-09-01,7550
2012-10-01,8247
2012-11-01,8291
2012-12-01,7790
2013-01-01,7911
2013-02-01,7951
2013-03-01,8648
2013-04-01,8112
2013-05-01,8138
2013-06-01,8583
2013-07-01,8696
2013-08-01,8706
2013-09-01,8088
2013-10-01,11025
2013-11-01,8796
2013-12-01,9557
2014-01-01,8592
2014-02-01,8084
2014-03-01,8912
2014-04-01,7986
2014-05-01,8067
2014-06-01,7858
2014-07-01,8698
2014-08-01,8974
2014-09-01,9009
2014-10-01,9772
2014-11-01,10390
2014-12-01,10672
2015-01-01,9482
2015-02-01,9360
2015-03-01,9235
2015-04-01,10188
2015-05-01,10423
2015-06-01,8556
2015-07-01,9963
2015-08-01,10921
2015-09-01,10254
2015-10-01,10970
2015-11-01,11366
2015-12-01,10589
2016-01-01,10630
2016-02-01,10240
2016-03-01,10233
2016-04-01,11182
2016-05-01,10161
2016-06-01,10259
2016-07-01,9489
2016-08-01,10748
2016-09-01,9930
2016-10-01,10347
2016-11-01,11292
2016-12-01,11330
2017-01-01,12514
2017-02-01,11466
2017-03-01,12750
2017-04-01,13640
2017-05-01,14449
2017-06-01,9480
2017-07-01,14635
2017-08-01,16903
2017-09-01,15123
2017-10-01,15798
2017-11-01,17047
2017-12-01,14414
2018-01-01,15194
2018-02-01,14908
2018-03-01,15560
2018-04-01,14334
2018-05-01,14396
2018-06-01,13697
2018-07-01,15546
2018-08-01,16990
2018-09-01,15029
2018-10-01,16505
2018-11-01,17184
2018-12-01,13704
2019-01-01,17154
2019-02-01,15114
2019-03-01,17246
2019-04-01,14808
2019-05-01,16399
2019-06-01,16754
2019-07-01,16825
2019-08-01,16233
2019-09-01,14693
2019-10-01,17200
2019-11-01,17127
2019-12-01,15839
2020-01-01,15502
2020-02-01,14781
2020-03-01,14958
2020-04-01,11202
2020-05-01,15694
2020-06-01,15063
2020-07-01,14898
2020-08-01,14704
2020-09-01,17135
2020-10-01,17064
2020-11-01,16438
2020-12-01,17794
2021-01-01,16464
2021-02-01,16479
2021-03-01,17751
2021-04-01,16084
2021-05-01,16896
2021-06-01,17864
2021-07-01,16917
2021-08-01,17060
2021-09-01,16800
2021-10-01,17193
2021-11-01,16590
2021-12-01,17556
2022-01-01,15629
2022-02-01,15501
2022-03-01,15998
2022-04-01,13075
2022-05-01,14447
2022-06-01,14534
2022-07-01,14170
2022-08-01,16549
2022-09-01,15619
2022-10-01,15662
2022-11-01,15365
2022-12-01,14631
2023-01-01,14660
2023-02-01,13415
2023-03-01,13068
2023-04-01,13884
2023-05-01,15531
2023-06-01,16513
2023-07-01,15300
2023-08-01,17273
2023-09-01,16948
2023-10-01,16589
